Resource,Country_Name,Year,Country_Code,P_electricity_USD_per_GWh,energy_prod_GWh,nat_contrib,gep
Geothermal energy,Australia,2014,AUS,222000.0,1.0,0.4467372178880912,99175.66237115624
Geothermal energy,Austria,2014,AUT,116000.0,0.384,0.6621942480541966,29496.78058532613
Geothermal energy,China,2014,CHN,143000.0,143.5,0.4998619585355525,10257417.320128804
Geothermal energy,Costa Rica,2014,CRI,252000.0,1538.136,0.3212836217975559,124532832.03409576
Geothermal energy,Germany,2014,DEU,292000.0,98.0,0.7853225893330231,22472791.21635379
Geothermal energy,France,2014,FRA,142000.0,83.113,0.5959099910726312,7032957.126498783
Geothermal energy,Guatemala,2014,GTM,214000.0,246.6,0.3180733282292952,16785492.906647656
Geothermal energy,Indonesia,2014,IDN,142000.0,10038.0,0.2779920606014303,396248771.2130363
Geothermal energy,Iceland,2014,ISL,89000.0,5238.414,0.4568764912134376,213004430.49805802
Geothermal energy,Italy,2014,ITA,255000.0,5916.333,0.751694530317724,1134055164.6877542
Geothermal energy,Japan,2014,JPN,291000.0,2620.0,0.7568241911406945,577017899.8094883
Geothermal energy,Kenya,2014,KEN,231000.0,3206.085,0.8497891503696511,629358633.3256259
Geothermal energy,Mexico,2014,MEX,165000.0,6000.0,0.3747214441102358,370974229.6691334
Geothermal energy,Nicaragua,2014,NIC,361000.0,662.008,0.1600939902639693,38260044.3327078
Geothermal energy,New Zealand,2014,NZL,138000.0,7627.0,0.822283608856111,865474877.694887
Geothermal energy,Philippines,2014,PHL,200000.0,10308.113,0.7241967892685842,1493020467.6035507
Geothermal energy,Papua New Guinea,2014,PNG,443000.0,248.0,0.7099602529443001,77999073.22947259
Geothermal energy,Portugal,2014,PRT,277000.0,205.38,0.6155978464486437,35021521.53990342
Geothermal energy,Romania,2014,ROU,91000.0,0.142,0.511166602774078,6605.294841046635
Geothermal energy,Russian Federation,2014,RUS,120000.0,455.0,0.4366283013467097,23839905.25353035
Geothermal energy,El Salvador,2014,SLV,213000.0,1557.641,0.2312186858864409,76713165.18690528
Geothermal energy,Thailand,2014,THA,171000.0,1.433,0.5423350837600998,132895.41592982615
Geothermal energy,Turkiye,2014,TUR,142000.0,2363.983,0.4024542054732979,135098075.80246842
Geothermal energy,United States,2014,USA,152000.0,18710.0,0.2914884997014368,828969974.0709102
Geothermal energy,Austria,2015,AUT,113000.0,0.061,0.5432793390479721,3744.8244840576717
Geothermal energy,China,2015,CHN,145000.0,143.5,0.5034723166356055,10476000.228395363
Geothermal energy,Costa Rica,2015,CRI,257000.0,1375.629,0.3824064847034316,135194708.6875469
Geothermal energy,Germany,2015,DEU,285000.0,133.0,0.7328113429466674,27777213.954393428
Geothermal energy,France,2015,FRA,143000.0,91.939,0.4791366835398751,6299342.699360078
Geothermal energy,Indonesia,2015,IDN,137000.0,10048.0,0.1337322377204546,184092588.8722725
Geothermal energy,Iceland,2015,ISL,89000.0,5003.002,0.4428119321445999,197169619.41075352
Geothermal energy,Italy,2015,ITA,238000.0,6184.971,0.6180863027291879,909837314.1747849
Geothermal energy,Japan,2015,JPN,259000.0,2595.0,0.7359135346342957,494611166.1953833
Geothermal energy,Kenya,2015,KEN,216000.0,4481.1,0.8219168684888709,795547802.7472637
Geothermal energy,Mexico,2015,MEX,137000.0,6331.0,0.0667641130886389,57907653.19509169
Geothermal energy,New Zealand,2015,NZL,143000.0,8214.0,0.7912813262230924,929440628.3442968
Geothermal energy,Philippines,2015,PHL,194000.0,11043.694,0.6500370015123148,1392689088.2756312
Geothermal energy,Papua New Guinea,2015,PNG,401000.0,217.6,0.6326185532057904,55200776.668209575
Geothermal energy,Portugal,2015,PRT,296000.0,203.567,0.0504619255882646,3040625.310642973
Geothermal energy,Romania,2015,ROU,87000.0,0.104,0.3222633903972776,2915.8391563145674
Geothermal energy,Russian Federation,2015,RUS,112000.0,456.544,0.1066378211818973,5452704.03257083
Geothermal energy,Thailand,2015,THA,167000.0,1.347,0.3063078585544134,68903.64647395675
Geothermal energy,Turkiye,2015,TUR,140000.0,3424.999,0.5204747134597352,249567552.2374831
Geothermal energy,United States,2015,USA,153000.0,18727.0,0.2752754544811223,788727765.7184005
Geothermal energy,Austria,2016,AUT,95000.0,0.021,0.5515194386655516,1100.2812801377756
Geothermal energy,China,2016,CHN,143000.0,143.5,0.4721606418481143,9688972.45104423
Geothermal energy,Costa Rica,2016,CRI,245000.0,1339.515,0.2439530208653763,80060789.03239872
Geothermal energy,Germany,2016,DEU,266000.0,175.0,0.7510928445438393,34963371.91351572
Geothermal energy,France,2016,FRA,145000.0,97.605,0.5299723699419034,7500553.209386026
Geothermal energy,Indonesia,2016,IDN,111000.0,10656.0,0.3420212203323913,404548171.74867773
Geothermal energy,Iceland,2016,ISL,88000.0,5067.28,0.5563777315032754,248100314.11368874
Geothermal energy,Italy,2016,ITA,216000.0,6288.573,0.582551178722631,791297772.5447954
Geothermal energy,Japan,2016,JPN,226000.0,2501.0,0.7096593169555776,401117897.0855333
Geothermal energy,Kenya,2016,KEN,176000.0,4688.925,0.8365392656584913,690354698.2160825
Geothermal energy,New Zealand,2016,NZL,132000.0,8202.0,0.8059267211467543,872547847.6236297
Geothermal energy,Philippines,2016,PHL,176000.0,11070.403,0.5619207286717203,1094841249.9991293
Geothermal energy,Papua New Guinea,2016,PNG,357000.0,187.2,0.5967526179034752,39881216.155536406
Geothermal energy,Portugal,2016,PRT,183000.0,171.577,0.375980556899463,11805259.730038468
Geothermal energy,Romania,2016,ROU,85000.0,0.104,0.344078343645179,3041.6525578233823
Geothermal energy,Russian Federation,2016,RUS,98000.0,445.923,0.1863236493903801,8142428.0692964345
Geothermal energy,Thailand,2016,THA,150000.0,1.392,0.1945829861142829,40628.92750066227
Geothermal energy,Turkiye,2016,TUR,142000.0,4818.524,0.4609331328138664,315384465.52595
Geothermal energy,United States,2016,USA,164000.0,18584.0,0.3171558289781316,966619923.819654
Geothermal energy,Australia,2017,AUS,172000.0,1.0,0.2601300218223482,44742.36375344389
Geothermal energy,Austria,2017,AUT,89000.0,0.091,0.5307104552353571,4298.223976951157
Geothermal energy,Chile,2017,CHL,99000.0,63.8,0.6691689272026028,4226604.77799708
Geothermal energy,China,2017,CHN,154000.0,143.5,0.423665173134048,9362576.661089327
Geothermal energy,Costa Rica,2017,CRI,146000.0,1117.832,0.3210597170906438,52398060.54853081
Geothermal energy,Germany,2017,DEU,338000.0,163.0,0.759701648023783,41855002.596222304
Geothermal energy,France,2017,FRA,136000.0,133.13,0.4430389745071473,8021521.899954567
Geothermal energy,Guatemala,2017,GTM,123000.0,253.048,0.0747654296509476,2327066.8204044974
Geothermal energy,Honduras,2017,HND,211000.0,92.585,0.3983110939522128,7781180.485682347
Geothermal energy,Indonesia,2017,IDN,112000.0,12764.0,0.3021615591811912,431960495.8355372
