Resource,Country_Name,Year,Country_Code,P_electricity_USD_per_GWh,energy_prod_GWh,nat_contrib,gep
Solar energy,Angola,2019,AGO,37000.0,1.939,0.619063445979114,44413.46880487957
Solar energy,Albania,2019,ALB,94000.0,22.196,0.5024737500230063,1048373.2914180009
Solar energy,Argentina,2019,ARG,108000.0,800.947,0.3681684253882407,31847406.747419003
Solar energy,Armenia,2019,ARM,77000.0,23.6,0.1335374285652501,242664.21518877253
Solar energy,Australia,2019,AUS,204000.0,14848.0,0.1494356530250147,452639397.5275453
Solar energy,Austria,2019,AUT,102000.0,1702.093,0.5359797214778492,93053307.87107848
Solar energy,Burundi,2019,BDI,173000.0,2.9819999999999998,0.7061877376717249,364312.36723651545
Solar energy,Belgium,2019,BEL,167000.0,4252.5,0.4659168293310666,330878989.89397025
Solar energy,Burkina Faso,2019,BFA,238000.0,91.24000000000001,0.8306354301072436,18037348.04103041
Solar energy,Bangladesh,2019,BGD,97000.0,374.03,0.7581367352337638,27505890.65871001
Solar energy,Bosnia and Herzegovina,2019,BIH,116000.0,30.0,0.5718855618686504,1990161.7553029032
Solar energy,Belize,2019,BLZ,226000.0,9.435,0.3405538058794902,726166.2858148958
Solar energy,Bolivia,2019,BOL,175000.0,187.516,0.1815449278006925,5957451.269258064
Solar energy,Brazil,2019,BRA,175000.0,6666.304999999999,0.7364926243185625,859194781.1926421
Solar energy,Central African Republic,2019,CAF,105000.0,0.426,0.864737559048572,38679.711016242625
Solar energy,Canada,2019,CAN,123000.0,3752.0,0.7168999514225217,330846459.9816881
Solar energy,Switzerland,2019,CHE,136000.0,2178.0,0.8382940971917752,248309417.94098133
Solar energy,Chile,2019,CHL,102000.0,6465.463,0.68180179281817,449632755.00955343
Solar energy,China,2019,CHN,146000.0,224541.51799999998,0.4410257739439519,14458175126.74097
Solar energy,Cote d'Ivoire,2019,CIV,126000.0,5.5,0.650534150262991,450820.1661322527
Solar energy,Cameroon,2019,CMR,170000.0,17.446,0.8750540477927301,2595252.7960246354
Solar energy,"Congo, Dem. Rep.",2019,COD,100000.0,12.26,0.6922857932902539,848742.3825738512
Solar energy,"Congo, Rep.",2019,COG,81000.0,0.668,0.7792966159546847,42166.18129607608
Solar energy,Colombia,2019,COL,199000.0,142.805,0.5960748633103568,16939371.700152066
Solar energy,Costa Rica,2019,CRI,144000.0,71.39999999999999,0.3015933773059839,3100862.468109204
Solar energy,Czechia,2019,CZE,138000.0,2316.154,0.0193085564445077,6171579.453557775
Solar energy,Germany,2019,DEU,256000.0,44383.0,0.7437606351464807,8450644037.044801
Solar energy,Ecuador,2019,ECU,119000.0,37.617,0.5531002647170423,2475910.7462854567
Solar energy,"Egypt, Arab Rep.",2019,EGY,97000.0,1489.0,0.5458532516149874,78839222.69050747
Solar energy,Spain,2019,ESP,260000.0,15103.0,0.3693716021097912,1450441019.732686
Solar energy,Ethiopia,2019,ETH,36000.0,19.754,0.4949723764156059,351996.63565369963
Solar energy,Finland,2019,FIN,133000.0,147.182,0.6420935786090038,12569114.072548443
Solar energy,France,2019,FRA,136000.0,12165.282000000001,0.5359068520511806,886646285.4071453
Solar energy,Gabon,2019,GAB,191000.0,0.13,0.4961646407666285,12319.768030235384
Solar energy,United Kingdom,2019,GBR,177000.0,12418.06,0.4564150506435372,1003198738.6316236
Solar energy,Georgia,2019,GEO,66000.0,3.556,0.2445419191904163,57393.01026631394
Solar energy,Ghana,2019,GHA,236000.0,190.417,0.8581997535234328,38566134.10213447
Solar energy,Guinea,2019,GIN,203000.0,21.719,0.5677166974041798,2503038.507037041
Solar energy,Honduras,2019,HND,208000.0,1126.614,0.2339744470068066,54828568.6291463
Solar energy,Croatia,2019,HRV,168000.0,83.1,0.2342678125729065,3270566.0777678327
Solar energy,Indonesia,2019,IDN,109000.0,118.0,0.2058532379548713,2647684.3465755545
Solar energy,India,2019,IND,182000.0,43933.395000000004,0.2231378835347909,1784183269.3772297
Solar energy,Ireland,2019,IRL,190000.0,33.261,0.7909114668826297,4998236.196996798
Solar energy,"Iran, Islamic Rep.",2019,IRN,52000.0,510.473,0.2324051553219341,6169100.95633799
Solar energy,Iraq,2019,IRQ,85000.0,376.545,0.4468413994412221,14301751.053970573
Solar energy,Iceland,2019,ISL,122000.0,5.419,0.596534374814019,394379.6128082946
Solar energy,Italy,2019,ITA,168000.0,23701.375,0.6390681109649899,2544661215.351837
Solar energy,Japan,2019,JPN,212000.0,69381.0,0.7544688929263508,11097310927.146107
Solar energy,Kenya,2019,KEN,217000.0,112.336,0.8064588971263306,19658977.56686561
Solar energy,Cambodia,2019,KHM,182000.0,139.71,0.2124065416218047,5400907.863256785
Solar energy,"Korea, Rep.",2019,KOR,114000.0,12996.0,0.1356377144180073,200953241.9697122
Solar energy,Lao PDR,2019,LAO,132000.0,45.159000000000006,0.2224847458195735,1326228.900013528
Solar energy,Lebanon,2019,LBN,130000.0,111.712,0.7259464884547607,10542601.43537357
Solar energy,Sri Lanka,2019,LKA,173000.0,330.095,0.3854616803362669,22012342.393113803
Solar energy,Lesotho,2019,LSO,139000.0,1.0310000000000001,0.914644268130068,131076.75542145193
Solar energy,Lithuania,2019,LTU,95000.0,91.10000000000001,0.3200712330654327,2770056.4865647876
Solar energy,Latvia,2019,LVA,114000.0,3.137,0.095977236354873,34323.18731075697
Solar energy,Madagascar,2019,MDG,113000.0,38.208000000000006,0.7110297679710421,3069873.8673340464
