Resource,Country_Name,Year,Country_Code,P_electricity_USD_per_GWh,energy_prod_GWh,nat_contrib,gep
Wind energy,Argentina,2019,ARG,108000.0,4996.866,0.3681684253882407,198686335.00637197
Wind energy,Armenia,2019,ARM,77000.0,3.3,0.1335374285652501,33931.86059843005
Wind energy,Australia,2019,AUS,204000.0,17712.0,0.1494356530250147,539948074.4213283
Wind energy,Austria,2019,AUT,102000.0,7450.076,0.5359797214778492,407295145.26581854
Wind energy,Belgium,2019,BEL,167000.0,9755.400000000001,0.4659168293310666,759049241.1550001
Wind energy,Bangladesh,2019,BGD,97000.0,5.0809999999999995,0.7581367352337638,373652.9969171071
Wind energy,Bosnia and Herzegovina,2019,BIH,116000.0,254.0,0.5718855618686504,16850036.194897916
Wind energy,Belize,2019,BLZ,226000.0,0.025,0.3405538058794902,1924.1290032191196
Wind energy,Bolivia,2019,BOL,175000.0,70.219,0.1815449278006925,2230883.0749164447
Wind energy,Brazil,2019,BRA,175000.0,55985.622,0.7364926243185625,7215774592.405234
Wind energy,Canada,2019,CAN,123000.0,32873.0,0.7168999514225217,2898698208.6828446
Wind energy,Switzerland,2019,CHE,136000.0,146.0,0.8382940971917752,16645167.593839888
Wind energy,Chile,2019,CHL,102000.0,4895.225,0.68180179281817,340432464.4873293
Wind energy,China,2019,CHN,146000.0,406559.694,0.4410257739439519,26178282340.311874
Wind energy,Colombia,2019,COL,199000.0,63.324,0.5960748633103568,7511423.084208741
Wind energy,Costa Rica,2019,CRI,144000.0,1796.358,0.3015933773059839,78014833.35416967
Wind energy,Czechia,2019,CZE,138000.0,700.014,0.0193085564445077,1865243.8566704944
Wind energy,Germany,2019,DEU,256000.0,125894.0,0.7437606351464807,23970560358.689545
Wind energy,Ecuador,2019,ECU,119000.0,85.52600000000001,0.5531002647170423,5629229.935582583
Wind energy,"Egypt, Arab Rep.",2019,EGY,97000.0,3001.445,0.5458532516149874,158919805.74097395
Wind energy,Spain,2019,ESP,260000.0,55647.0,0.3693716021097912,5344149601.076923
Wind energy,Ethiopia,2019,ETH,36000.0,848.0709999999999,0.4949723764156059,15111781.856609732
Wind energy,Finland,2019,FIN,133000.0,6024.746,0.6420935786090038,514503945.67358744
Wind energy,France,2019,FRA,136000.0,34721.683,0.5359068520511806,2530631945.485063
Wind energy,United Kingdom,2019,GBR,177000.0,63834.897,0.4564150506435372,5156931771.233157
Wind energy,Georgia,2019,GEO,66000.0,84.694,0.2445419191904163,1366941.3980582657
Wind energy,Ghana,2019,GHA,236000.0,0.035,0.8581997535234328,7088.729964103556
Wind energy,Honduras,2019,HND,208000.0,819.3739999999999,0.2339744470068066,39876216.33668507
Wind energy,Croatia,2019,HRV,168000.0,1467.3,0.2342678125729065,57748515.11322191
Wind energy,Indonesia,2019,IDN,109000.0,7.7,0.2058532379548713,172772.6226155235
Wind energy,India,2019,IND,182000.0,62688.878,0.2231378835347909,2545863967.5725102
Wind energy,Ireland,2019,IRL,190000.0,10019.485,0.7909114668826297,1505659859.964116
Wind energy,"Iran, Islamic Rep.",2019,IRN,52000.0,634.121,0.2324051553219341,7663395.453890808
Wind energy,Iceland,2019,ISL,122000.0,6.569,0.596534374814019,478073.3855947015
Wind energy,Italy,2019,ITA,168000.0,20202.042,0.6390681109649899,2168960777.520665
Wind energy,Japan,2019,JPN,212000.0,7618.0,0.7544688929263508,1218479333.5783434
Wind energy,Kenya,2019,KEN,217000.0,57.98,0.8064588971263306,10146591.647618467
Wind energy,Cambodia,2019,KHM,182000.0,0.3,0.2124065416218047,11597.397172550536
Wind energy,"Korea, Rep.",2019,KOR,114000.0,2680.0,0.1356377144180073,41440034.50898959
Wind energy,Sri Lanka,2019,LKA,173000.0,348.0,0.3854616803362669,23206335.002964612
Wind energy,Lithuania,2019,LTU,95000.0,1499.4,0.3200712330654327,45591906.65153944
Wind energy,Latvia,2019,LVA,114000.0,153.999,0.095977236354873,1684965.4200412058
Wind energy,Madagascar,2019,MDG,113000.0,0.465,0.7110297679710421,37361.059158038406
Wind energy,Mexico,2019,MEX,165000.0,16880.0,0.0551369449917657,153567419.19106582
Wind energy,Mauritius,2019,MUS,205000.0,15.236,0.7361622966230347,2299314.5940264543
Wind energy,Namibia,2019,NAM,151000.0,21.596,0.5799496758347303,1891213.5730983522
Wind energy,Norway,2019,NOR,101000.0,5524.508,0.4593175756509024,256287865.74362558
Wind energy,Nepal,2019,NPL,120000.0,0.349,0.5438676444417642,22777.17694922108
Wind energy,New Zealand,2019,NZL,120000.0,2255.0,0.7999849420189341,216475925.31032357
Wind energy,Pakistan,2019,PAK,217000.0,2812.272,0.440840177547984,269028459.85112965
Wind energy,Panama,2019,PAN,254000.0,677.8,0.3124388737979257,53789851.43969944
Wind energy,Peru,2019,PER,195000.0,1655.0390000000002,0.7117977069370539,229720328.19282204
Wind energy,Philippines,2019,PHL,181000.0,1041.66,0.5553149364447715,104699333.56216799
Wind energy,Romania,2019,ROU,92000.0,6772.809,0.3276786510192675,204176052.33926618
Wind energy,Russian Federation,2019,RUS,84000.0,330.8,0.3127858629317916,8691443.33045828
Wind energy,Slovak Republic,2019,SVK,156000.0,6.0,0.4377657559944604,409748.747610815
Wind energy,Slovenia,2019,SVN,266000.0,6.15,0.7511985990617555,1228885.7882051258
Wind energy,Sweden,2019,SWE,104000.0,19847.0,0.653483614108386,1348847686.0777502
Wind energy,Thailand,2019,THA,137000.0,3673.278,0.5577261468949652,280669596.40172404
Wind energy,Turkiye,2019,TUR,89000.0,21730.713,0.4151735908644141,802959615.1946064
Wind energy,Uruguay,2019,URY,167000.0,4748.949,0.9096466642969144,721417557.9999498
Wind energy,United States,2019,USA,181000.0,298200.0,0.3989025597974396,21530446543.018967
Wind energy,"Venezuela, RB",2019,VEN,1238000.0,60.36,0.6677698948199314,49899559.47394785
Wind energy,Vietnam,2019,VNM,125000.0,909.686,0.4479240359044859,50933778.06572602
