Resource,Country_Name,Year,Country_Code,P_electricity_USD_per_GWh,energy_prod_GWh,nat_contrib,gep
Wind energy,Argentina,2014,ARG,94000.0,619.094,0.3147094048589565,18314462.203424577
Wind energy,Armenia,2014,ARM,80000.0,4.0,0.0769199361515558,24614.379568497858
Wind energy,Australia,2014,AUS,222000.0,10252.0,0.4467372178880912,1016748890.6290938
Wind energy,Austria,2014,AUT,116000.0,3845.675,0.6621942480541966,295403728.3267554
Wind energy,Azerbaijan,2014,AZE,76000.0,2.34,0.0456284102932838,8114.556486557591
Wind energy,Belgium,2014,BEL,195000.0,4615.299999999999,0.311266079762977,280134335.89636314
Wind energy,Bangladesh,2014,BGD,93000.0,3.3289999999999997,0.703181838322042,217702.9875989892
Wind energy,Bosnia and Herzegovina,2014,BIH,137000.0,0.8,0.6482489357293852,71048.08335594063
Wind energy,Belize,2014,BLZ,226000.0,0.025,0.4501270935499265,2543.2180785570854
Wind energy,Bolivia,2014,BOL,140000.0,8.158,0.3319037892428552,379073.95577004977
Wind energy,Brazil,2014,BRA,123000.0,12210.252,0.7805644969008019,1172299372.757677
Wind energy,Canada,2014,CAN,129000.0,22538.0,0.7232630942979626,2102816566.8880851
Wind energy,Switzerland,2014,CHE,174000.0,101.0,0.8553006013640102,15031052.768371115
Wind energy,Chile,2014,CHL,98000.0,1443.0,0.6120137270738842,86547309.20042627
Wind energy,China,2014,CHN,143000.0,160205.533,0.4998619585355525,11451533163.586527
Wind energy,Colombia,2014,COL,144000.0,70.23,0.5556453524166534,5619308.126431906
Wind energy,Costa Rica,2014,CRI,252000.0,734.767,0.3212836217975559,59489287.94020584
Wind energy,Germany,2014,DEU,292000.0,58497.0,0.7853225893330231,13414192528.398445
Wind energy,Ecuador,2014,ECU,79000.0,79.74300000000001,0.7080810196623362,4460695.87532376
Wind energy,"Egypt, Arab Rep.",2014,EGY,108000.0,1344.445,0.4203297761172194,61031908.71200682
Wind energy,Spain,2014,ESP,231000.0,52013.0,0.6905221156087232,8296625290.605157
Wind energy,Ethiopia,2014,ETH,47000.0,526.3,0.6092619376036935,15070764.21475872
Wind energy,Finland,2014,FIN,164000.0,1107.172,0.6577758714528179,119436448.45229813
Wind energy,France,2014,FRA,142000.0,17323.777,0.5959099910726312,1465924475.2328238
Wind energy,United Kingdom,2014,GBR,150000.0,31959.0,0.5533317592829899,2652589454.2387614
Wind energy,Greece,2014,GRC,141000.0,3688.575,0.0222025148528784,11547285.412507286
Wind energy,Honduras,2014,HND,245000.0,398.306,0.4762769699115611,46477473.82051059
Wind energy,Croatia,2014,HRV,184000.0,729.97,0.6242649227266567,83847818.47827108
Wind energy,Indonesia,2014,IDN,142000.0,1.177,0.2779920606014303,46461.92505655945
Wind energy,India,2014,IND,229000.0,27235.366,0.30215702033187,1884522761.7496138
Wind energy,Ireland,2014,IRL,241000.0,5140.061,0.7716502770797078,955885408.2604405
Wind energy,Iceland,2014,ISL,89000.0,8.386,0.4568764912134376,340991.59672311397
Wind energy,Italy,2014,ITA,255000.0,15178.31,0.751694530317724,2909410414.649038
Wind energy,Japan,2014,JPN,291000.0,5217.0,0.7568241911406945,1148970375.307672
Wind energy,Kazakhstan,2014,KAZ,98000.0,13.301,0.4256372867093322,554817.3519510411
Wind energy,Kenya,2014,KEN,231000.0,27.562,0.8497891503696511,5410456.257934803
Wind energy,"Korea, Rep.",2014,KOR,100000.0,1146.0,0.3588036740530712,41118901.04648195
Wind energy,Sri Lanka,2014,LKA,242000.0,272.448,0.5796318742267483,38216529.85837764
Wind energy,Lithuania,2014,LTU,204000.0,639.0,0.5085708014753877,66295255.39712564
Wind energy,Latvia,2014,LVA,201000.0,139.712,0.0044506411839974,124983.40420082757
Wind energy,Morocco,2014,MAR,116000.0,1938.942,0.1440990759859911,32410371.068489827
Wind energy,Madagascar,2014,MDG,158000.0,0.465,0.6903817755591153,50722.3490503282
Wind energy,Mexico,2014,MEX,165000.0,6426.0,0.3747214441102358,397313399.9756419
Wind energy,North Macedonia,2014,MKD,184000.0,70.632,0.1132348903811627,1471633.2470420203
Wind energy,Mauritius,2014,MUS,266000.0,3.174,0.7347037285296524,620298.6027379291
Wind energy,Namibia,2014,NAM,185000.0,0.572,0.7307148113030517,77324.24133208893
Wind energy,Nicaragua,2014,NIC,361000.0,845.968,0.1600939902639693,48891815.784782276
Wind energy,Norway,2014,NOR,97000.0,2217.0,0.5408841898817597,116316604.14988253
Wind energy,Nepal,2014,NPL,129000.0,0.121,0.5761080087540026,8992.469908641227
Wind energy,New Zealand,2014,NZL,138000.0,2211.0,0.822283608856111,250893530.16695884
Wind energy,Pakistan,2014,PAK,208000.0,363.272,0.7699884109286385,58180767.84309262
Wind energy,Panama,2014,PAN,247000.0,113.18,0.3524186343990416,9852025.037197031
Wind energy,Peru,2014,PER,142000.0,257.514,0.7368773163831922,26945383.98565639
Wind energy,Philippines,2014,PHL,200000.0,152.052,0.7241967892685842,22023114.040373355
Wind energy,Poland,2014,POL,143000.0,7675.629,0.2664556975306758,292465756.3229807
Wind energy,Portugal,2014,PRT,277000.0,12111.395,0.6155978464486437,2065242384.2184174
Wind energy,Romania,2014,ROU,91000.0,6200.91,0.511166602774078,288442526.9915105
Wind energy,Russian Federation,2014,RUS,120000.0,5.0,0.4366283013467097,261976.98080802584
Wind energy,Slovak Republic,2014,SVK,161000.0,6.0,0.4921314570199834,475398.987481304
Wind energy,Slovenia,2014,SVN,133000.0,4.209,0.8524165588915757,477180.23241782736
Wind energy,Sweden,2014,SWE,137000.0,11235.0,0.6966248328058487,1072241459.5305984
Wind energy,Thailand,2014,THA,171000.0,399.014,0.5423350837600998,37004278.78005837
Wind energy,Turkiye,2014,TUR,142000.0,8520.141,0.4024542054732979,486913253.8879167
Wind energy,Uruguay,2014,URY,210000.0,727.535,0.931745972298032,142354339.25072822
Wind energy,United States,2014,USA,152000.0,183892.0,0.2914884997014368,8147565284.438686
Wind energy,"Venezuela, RB",2014,VEN,9547000.0,113.2,0.8806668365182473,951754615.8287348
Wind energy,Vietnam,2014,VNM,120000.0,117.90299999999999,0.5770096511428813,8163740.267843896
Wind energy,Argentina,2015,ARG,70000.0,593.0,0.1547040512488651,6421765.16734039
Wind energy,Armenia,2015,ARM,83000.0,3.7,0.1661544514931833,51026.0320535566
Wind energy,Austria,2015,AUT,113000.0,4840.321,0.5432793390479721,297150042.4835822
Wind energy,Belgium,2015,BEL,192000.0,5574.0,0.3154560158081314,337603551.76598865
Wind energy,Bangladesh,2015,BGD,90000.0,4.205,0.7345238714202688,277980.5591390007
Wind energy,Bulgaria,2015,BGR,128000.0,1451.511,0.1248662312131754,23199322.64121183
Wind energy,Bosnia and Herzegovina,2015,BIH,140000.0,0.8,0.5699316369906668,63832.34334295469
Wind energy,Belize,2015,BLZ,223000.0,0.025,0.3847663416254321,2145.072354561784
Wind energy,Bolivia,2015,BOL,152000.0,11.45,0.3528033439332023,614018.9397813452
Wind energy,Brazil,2015,BRA,157000.0,21625.702,0.7628632236327032,2590100080.3433113
Wind energy,Canada,2015,CAN,126000.0,26964.0,0.6710641845544517,2279916408.7131057
Wind energy,Switzerland,2015,CHE,161000.0,110.0,0.8478719159254382,15015811.631039511
Wind energy,Chile,2015,CHL,101000.0,2115.0,0.6380900470597514,136305605.40266877
Wind energy,China,2015,CHN,145000.0,185965.136,0.5034723166356055,13576103186.12944
Wind energy,Colombia,2015,COL,143000.0,68.377,0.4207438196589556,4113995.6224253178
Wind energy,Costa Rica,2015,CRI,257000.0,1079.522,0.3824064847034316,106093766.78726459
Wind energy,Germany,2015,DEU,285000.0,80624.0,0.7328113429466674,16838421788.413652
Wind energy,Ecuador,2015,ECU,99000.0,98.80699999999999,0.7136875916940836,6981215.657379214
Wind energy,"Egypt, Arab Rep.",2015,EGY,115000.0,1456.445,0.4522725033727506,75751653.01009347
Wind energy,Spain,2015,ESP,251000.0,49325.0,0.4217347989421325,5221319308.4129925
Wind energy,Ethiopia,2015,ETH,47000.0,499.0,0.6620801610357933,15527766.01677246
Wind energy,Finland,2015,FIN,143000.0,2327.359,0.6761858454515961,225042991.4710665
Wind energy,France,2015,FRA,143000.0,21420.602,0.4791366835398751,1467665656.8441892
Wind energy,United Kingdom,2015,GBR,156000.0,40275.0,0.504682831628687,3170871762.8398776
Wind energy,Ghana,2015,GHA,254000.0,0.035,0.8236716652564118,7322.441104129502
Wind energy,Greece,2015,GRC,156000.0,4621.019,0.1419856112270762,102354440.32428145
Wind energy,Honduras,2015,HND,196000.0,668.061,0.3376111432114561,44206788.23721776
Wind energy,Croatia,2015,HRV,184000.0,796.295,0.2932807107007141,42970985.28904622
Wind energy,Indonesia,2015,IDN,137000.0,3.7,0.1337322377204546,67788.87130049843
Wind energy,India,2015,IND,220000.0,31872.871,0.2161187132444886,1515431250.944067
Wind energy,Ireland,2015,IRL,234000.0,6572.998,0.7586128687129156,1166808443.3048759
Wind energy,Iceland,2015,ISL,89000.0,10.894,0.4428119321445999,429335.39380171115
Wind energy,Italy,2015,ITA,238000.0,14843.882,0.6180863027291879,2183602434.1597457
Wind energy,Japan,2015,JPN,259000.0,5580.0,0.7359135346342957,1063556958.5241768
Wind energy,Kazakhstan,2015,KAZ,91000.0,131.722,0.3425021768957179,4105471.5288002556
Wind energy,Kenya,2015,KEN,216000.0,47.636,0.8219168684888709,8457011.700624544
Wind energy,Cambodia,2015,KHM,187000.0,0.3,0.0160832492659897,902.2702838220222
