iso3_r250_id,iso3_r250_label,iso3_r250_name,Q,P,lambda,ppp_ratio,Geothermal_energy_provision
533.0,ABW,Aruba,NA,NA,NA,0.7951,NA
4.0,AFG,Afghanistan,NA,180000.0,NA,0.1933,NA
24.0,AGO,Angola,NA,37000.0,NA,0.3411,NA
660.0,AIA,Anguilla,NA,NA,NA,NA,NA
248.0,ALA,Åland,NA,NA,NA,NA,NA
8.0,ALB,Albania,NA,94000.0,NA,0.3691,NA
20.0,AND,Andorra,NA,NA,NA,NA,NA
784.0,ARE,United Arab Emirates,NA,109000.0,NA,0.5756,NA
32.0,ARG,Argentina,NA,108000.0,NA,0.4234,NA
51.0,ARM,Armenia,NA,77000.0,NA,0.307,NA
16.0,ASM,American Samoa,NA,NA,NA,NA,NA
10.0,ATA,Antarctica,NA,NA,NA,NA,NA
260.0,ATF,French Southern Territories,NA,NA,NA,NA,NA
28.0,ATG,Antigua and Barbuda,NA,449000.0,NA,0.7117,NA
36.0,AUS,Australia,NA,204000.0,NA,1.0144,NA
40.0,AUT,Austria,0.2,102000.0,0.0,0.8265,25.0
31.0,AZE,Azerbaijan,NA,48000.0,NA,0.2882,NA
108.0,BDI,Burundi,NA,173000.0,NA,0.3154,NA
56.0,BEL,Belgium,NA,167000.0,NA,0.8237,NA
204.0,BEN,Benin,NA,207000.0,NA,0.3591,NA
535.0,BES,"Bonaire, Sint Eustatius and Saba",NA,NA,NA,NA,NA
854.0,BFA,Burkina Faso,NA,238000.0,NA,0.3427,NA
50.0,BGD,Bangladesh,NA,97000.0,NA,0.3504,NA
100.0,BGR,Bulgaria,NA,107000.0,NA,0.1978,NA
48.0,BHR,Bahrain,NA,60000.0,NA,0.4816,NA
44.0,BHS,Bahamas,NA,285000.0,NA,0.9315,NA
70.0,BIH,Bosnia and Herzegovina,NA,116000.0,NA,0.3727,NA
652.0,BLM,Saint Barthélemy,NA,NA,NA,NA,NA
112.0,BLR,Belarus,NA,147000.0,NA,0.3066,NA
84.0,BLZ,Belize,NA,226000.0,NA,0.5878,NA
60.0,BMU,Bermuda,NA,NA,NA,1.2727,NA
68.0,BOL,Bolivia,NA,175000.0,NA,0.3819,NA
76.0,BRA,Brazil,NA,175000.0,NA,0.5619,NA
52.0,BRB,Barbados,NA,266000.0,NA,1.0972,NA
96.0,BRN,Brunei,NA,50000.0,NA,0.4387,NA
64.0,BTN,Bhutan,NA,59000.0,NA,0.2771,NA
74.0,BVT,Bouvet Island,NA,NA,NA,NA,NA
72.0,BWA,Botswana,NA,163000.0,NA,0.4494,NA
140.0,CAF,Central African Republic,NA,105000.0,NA,0.4561,NA
124.0,CAN,Canada,NA,123000.0,NA,0.9179,NA
166.0,CCK,Cocos Islands,NA,NA,NA,NA,NA
756.0,CHE,Switzerland,NA,136000.0,NA,1.141,NA
152.0,CHL,Chile,202.0,102000.0,0.5,0.5658,18155970.0
156.0,CHN,China,143.5,146000.0,0.56,0.5876,20134450.0
384.0,CIV,Côte d'lvoire,NA,126000.0,NA,0.3883,NA
120.0,CMR,Cameroon,NA,170000.0,NA,0.3667,NA
180.0,COD,Democratic Republic of the Congo,NA,100000.0,NA,0.4772,NA
178.0,COG,Republic of the Congo,NA,81000.0,NA,0.4351,NA
184.0,COK,Cook Islands,NA,NA,NA,NA,NA
170.0,COL,Colombia,NA,199000.0,NA,0.4,NA
174.0,COM,Comoros,NA,281000.0,NA,0.4586,NA
132.0,CPV,Cabo Verde,NA,263000.0,NA,0.5067,NA
188.0,CRI,Costa Rica,1512.58,144000.0,0.59,0.5521,233776534.0
192.0,CUB,Cuba,NA,NA,NA,NA,NA
531.0,CUW,Curaçao,NA,NA,NA,0.7568,NA
162.0,CXR,Christmas Island,NA,NA,NA,NA,NA
136.0,CYM,Cayman Islands,NA,NA,NA,1.214,NA
196.0,CYP,Cyprus,NA,191000.0,NA,0.6584,NA
203.0,CZE,Czechia,NA,138000.0,NA,0.5275,NA
276.0,DEU,Germany,197.0,256000.0,0.48,0.8035,29892849.0
262.0,DJI,Djibouti,NA,262000.0,NA,0.5256,NA
212.0,DMA,Dominica,NA,368000.0,NA,0.5924,NA
208.0,DNK,Denmark,NA,242000.0,NA,0.9803,NA
214.0,DOM,Dominican Republic,NA,201000.0,NA,0.414,NA
12.0,DZA,Algeria,NA,21000.0,NA,0.3216,NA
218.0,ECU,Ecuador,NA,119000.0,NA,0.4947,NA
818.0,EGY,Egypt,NA,97000.0,NA,0.2322,NA
232.0,ERI,Eritrea,NA,NA,NA,0.3112,NA
732.0,ESH,Western Sahara,NA,NA,NA,NA,NA
724.0,ESP,Spain,NA,260000.0,NA,0.6763,NA
233.0,EST,Estonia,NA,103000.0,NA,0.5919,NA
231.0,ETH,Ethiopia,NA,36000.0,NA,0.3566,NA
246.0,FIN,Finland,NA,133000.0,NA,0.9251,NA
242.0,FJI,Fiji,NA,218000.0,NA,0.4501,NA
238.0,FLK,Falkland Islands,NA,NA,NA,NA,NA
250.0,FRA,France,128.49,136000.0,0.89,0.7903,19682367.0
234.0,FRO,Faroe Islands,NA,NA,NA,1.0136,NA
583.0,FSM,Micronesia,NA,414000.0,NA,0.9572,NA
266.0,GAB,Gabon,NA,191000.0,NA,0.4665,NA
826.0,GBR,United Kingdom,NA,177000.0,NA,0.8548,NA
268.0,GEO,Georgia,NA,66000.0,NA,0.2828,NA
831.0,GGY,Guernsey,NA,NA,NA,NA,NA
288.0,GHA,Ghana,NA,236000.0,NA,0.3642,NA
292.0,GIB,Gibraltar,NA,NA,NA,NA,NA
324.0,GIN,Guinea,NA,203000.0,NA,0.3321,NA
312.0,GLP,Guadeloupe,109.47,NA,0.83,NA,NA
270.0,GMB,Gambia,NA,202000.0,NA,0.3048,NA
624.0,GNB,Guinea-Bissau,NA,273000.0,NA,0.361,NA
226.0,GNQ,Equatorial Guinea,NA,174000.0,NA,0.4136,NA
300.0,GRC,Greece,NA,204000.0,NA,0.6056,NA
308.0,GRD,Grenada,NA,309000.0,NA,0.6362,NA
304.0,GRL,Greenland,NA,NA,NA,0.8295,NA
