iso3_r250_id,iso3_r250_label,iso3_r250_name,Q,P,lambda,ppp_ratio,Wind_energy_provision
533.0,ABW,Aruba,130.99,NA,1.0,0.7951,NA
4.0,AFG,Afghanistan,0.12,180000.0,0.24,0.1933,27793.0
24.0,AGO,Angola,NA,37000.0,NA,0.3411,NA
660.0,AIA,Anguilla,NA,NA,NA,NA,NA
248.0,ALA,Åland,NA,NA,NA,NA,NA
8.0,ALB,Albania,NA,94000.0,NA,0.3691,NA
20.0,AND,Andorra,NA,NA,NA,NA,NA
784.0,ARE,United Arab Emirates,NA,109000.0,NA,0.5756,NA
32.0,ARG,Argentina,4996.87,108000.0,0.72,0.4234,916152257.0
51.0,ARM,Armenia,3.3,77000.0,0.22,0.307,179479.0
16.0,ASM,American Samoa,NA,NA,NA,NA,NA
10.0,ATA,Antarctica,NA,NA,NA,NA,NA
260.0,ATF,French Southern Territories,NA,NA,NA,NA,NA
28.0,ATG,Antigua and Barbuda,NA,449000.0,NA,0.7117,NA
36.0,AUS,Australia,17712.0,204000.0,0.5,1.0144,1783700032.0
40.0,AUT,Austria,7450.08,102000.0,0.52,0.8265,475167864.0
31.0,AZE,Azerbaijan,105.4,48000.0,0.34,0.2882,5894065.0
108.0,BDI,Burundi,NA,173000.0,NA,0.3154,NA
56.0,BEL,Belgium,9755.4,167000.0,0.57,0.8237,1129680969.0
204.0,BEN,Benin,NA,207000.0,NA,0.3591,NA
535.0,BES,"Bonaire, Sint Eustatius and Saba",32.06,NA,0.66,NA,NA
854.0,BFA,Burkina Faso,NA,238000.0,NA,0.3427,NA
50.0,BGD,Bangladesh,5.08,97000.0,0.38,0.3504,527545.0
100.0,BGR,Bulgaria,1316.99,107000.0,0.41,0.1978,289125612.0
48.0,BHR,Bahrain,1.2,60000.0,0.38,0.4816,57051.0
44.0,BHS,Bahamas,0.79,285000.0,0.6,0.9315,143938.0
70.0,BIH,Bosnia and Herzegovina,254.0,116000.0,0.67,0.3727,53074404.0
652.0,BLM,Saint Barthélemy,NA,NA,NA,NA,NA
112.0,BLR,Belarus,177.81,147000.0,0.33,0.3066,28420125.0
84.0,BLZ,Belize,0.02,226000.0,0.25,0.5878,2381.0
60.0,BMU,Bermuda,NA,NA,NA,1.2727,NA
68.0,BOL,Bolivia,70.22,175000.0,0.59,0.3819,18996257.0
76.0,BRA,Brazil,55985.62,175000.0,0.85,0.5619,14831349663.0
52.0,BRB,Barbados,0.06,266000.0,0.17,1.0972,2273.0
96.0,BRN,Brunei,NA,50000.0,NA,0.4387,NA
64.0,BTN,Bhutan,NA,59000.0,NA,0.2771,NA
74.0,BVT,Bouvet Island,NA,NA,NA,NA,NA
72.0,BWA,Botswana,NA,163000.0,NA,0.4494,NA
140.0,CAF,Central African Republic,NA,105000.0,NA,0.4561,NA
124.0,CAN,Canada,32873.0,123000.0,0.56,0.9179,2473235882.0
166.0,CCK,Cocos Islands,NA,NA,NA,NA,NA
756.0,CHE,Switzerland,146.0,136000.0,0.42,1.141,7386856.0
152.0,CHL,Chile,4895.23,102000.0,0.7,0.5658,615296022.0
156.0,CHN,China,406559.69,146000.0,0.42,0.5876,42701949102.0
384.0,CIV,Côte d'lvoire,NA,126000.0,NA,0.3883,NA
120.0,CMR,Cameroon,NA,170000.0,NA,0.3667,NA
180.0,COD,Democratic Republic of the Congo,NA,100000.0,NA,0.4772,NA
