iso3_r250_id,iso3_r250_label,iso3_r250_name,Solar_energy_provision,Wind_energy_provision,Geothermal_energy_provision
533.0,ABW,Aruba,,,
4.0,AFG,Afghanistan,36643873.0,27793.0,
24.0,AGO,Angola,115640.0,,
660.0,AIA,Anguilla,,,
248.0,ALA,Åland,,,
8.0,ALB,Albania,3527011.0,,
20.0,AND,Andorra,,,
784.0,ARE,United Arab Emirates,528388043.0,,
32.0,ARG,Argentina,146276552.0,916152257.0,
51.0,ARM,Armenia,2457734.0,179479.0,
16.0,ASM,American Samoa,,,
10.0,ATA,Antarctica,,,
260.0,ATF,French Southern Territories,,,
28.0,ATG,Antigua and Barbuda,5354678.0,,
36.0,AUS,Australia,1029198521.0,1783700032.0,
40.0,AUT,Austria,76504424.0,475167864.0,25.0
31.0,AZE,Azerbaijan,3770445.0,5894065.0,
108.0,BDI,Burundi,996900.0,,
56.0,BEL,Belgium,280312542.0,1129680969.0,
204.0,BEN,Benin,1849073.0,,
535.0,BES,"Bonaire, Sint Eustatius and Saba",,,
854.0,BFA,Burkina Faso,41267747.0,,
50.0,BGD,Bangladesh,53132750.0,527545.0,
100.0,BGR,Bulgaria,400148069.0,289125612.0,
48.0,BHR,Bahrain,1669560.0,57051.0,
44.0,BHS,Bahamas,680048.0,143938.0,
70.0,BIH,Bosnia and Herzegovina,4811731.0,53074404.0,
652.0,BLM,Saint Barthélemy,,,
112.0,BLR,Belarus,38235446.0,28420125.0,
84.0,BLZ,Belize,2028582.0,2381.0,
60.0,BMU,Bermuda,,,
68.0,BOL,Bolivia,85922124.0,18996257.0,
76.0,BRA,Brazil,1140843792.0,14831349663.0,
52.0,BRB,Barbados,4209675.0,2273.0,
96.0,BRN,Brunei,38343.0,,
64.0,BTN,Bhutan,44358.0,,
74.0,BVT,Bouvet Island,,,
72.0,BWA,Botswana,784085.0,,
140.0,CAF,Central African Republic,54779.0,,
124.0,CAN,Canada,167791740.0,2473235882.0,
166.0,CCK,Cocos Islands,,,
756.0,CHE,Switzerland,79154251.0,7386856.0,
152.0,CHL,Chile,1142082743.0,615296022.0,18155970.0
156.0,CHN,China,22588347341.0,42701949102.0,20134450.0
384.0,CIV,Côte d'lvoire,892075.0,,
120.0,CMR,Cameroon,4281913.0,,
180.0,COD,Democratic Republic of the Congo,1252277.0,,
178.0,COG,Republic of the Congo,124366.0,,
184.0,COK,Cook Islands,,,
170.0,COL,Colombia,71046485.0,25290505.0,
174.0,COM,Comoros,566053.0,,
132.0,CPV,Cabo Verde,935140.0,23999942.0,
188.0,CRI,Costa Rica,10692667.0,468570695.0,233776534.0
192.0,CUB,Cuba,,,
531.0,CUW,Curaçao,,,
162.0,CXR,Christmas Island,,,
136.0,CYM,Cayman Islands,,,
196.0,CYP,Cyprus,35480173.0,21755294.0,
203.0,CZE,Czechia,245833618.0,83107494.0,
276.0,DEU,Germany,4536078934.0,18307392103.0,29892849.0
262.0,DJI,Djibouti,196272.0,,
212.0,DMA,Dominica,18540.0,218182.0,
208.0,DNK,Denmark,74629175.0,2396412259.0,
214.0,DOM,Dominican Republic,74528658.0,177179877.0,
12.0,DZA,Algeria,36377082.0,120330.0,
218.0,ECU,Ecuador,4740164.0,19678430.0,
818.0,EGY,Egypt,198611339.0,756552883.0,
232.0,ERI,Eritrea,,,
732.0,ESH,Western Sahara,,,
724.0,ESP,Spain,3035862037.0,10317507519.0,
233.0,EST,Estonia,2398661.0,57645935.0,
231.0,ETH,Ethiopia,1257304.0,50904885.0,
246.0,FIN,Finland,4474858.0,519564665.0,
242.0,FJI,Fiji,2711247.0,26245.0,
238.0,FLK,Falkland Islands,,,
250.0,FRA,France,883621611.0,2792301566.0,19682367.0
234.0,FRO,Faroe Islands,,,
583.0,FSM,Micronesia,120778.0,89965.0,
266.0,GAB,Gabon,27049.0,,
826.0,GBR,United Kingdom,851478180.0,8044578200.0,
268.0,GEO,Georgia,400759.0,18850615.0,
831.0,GGY,Guernsey,,,
288.0,GHA,Ghana,115867094.0,8495.0,
292.0,GIB,Gibraltar,,,
324.0,GIN,Guinea,8021540.0,,
312.0,GLP,Guadeloupe,,,
270.0,GMB,Gambia,1212644.0,529261.0,
624.0,GNB,Guinea-Bissau,1419934.0,,
226.0,GNQ,Equatorial Guinea,80739.0,,
300.0,GRC,Greece,915753250.0,1087381661.0,
308.0,GRD,Grenada,770847.0,69736.0,
304.0,GRL,Greenland,,,
320.0,GTM,Guatemala,117365829.0,112840626.0,61811515.0
254.0,GUF,French Guiana,,,
316.0,GUM,Guam,,,
328.0,GUY,Guyana,3406197.0,184425.0,
344.0,HKG,"China, Hong Kong Special Administrative Region",3200.0,48884.0,
334.0,HMD,Heard Island and McDonald Island,,,
340.0,HND,Honduras,480934866.0,315492605.0,136363783.0
191.0,HRV,Croatia,77670226.0,1966826497.0,243172978.0
332.0,HTI,Haiti,1664992.0,21409.0,
348.0,HUN,Hungary,221865816.0,138273997.0,4227544.0
360.0,IDN,Indonesia,9585344.0,2450.0,3173132241.0
833.0,IMN,Isle of Man,,,
356.0,IND,India,13141309120.0,14078812438.0,
86.0,IOT,British Indian Ocean Territory,,,
372.0,IRL,Ireland,2127120.0,1170488010.0,
364.0,IRN,Iran,27223063.0,26947024.0,
368.0,IRQ,Iraq,69118882.0,,
352.0,ISL,Iceland,152643.0,442872.0,578705423.0
376.0,ISR,Israel,194474630.0,20937792.0,
380.0,ITA,Italy,2323463276.0,1922736833.0,1246513291.0
388.0,JAM,Jamaica,12425596.0,79938059.0,
832.0,JEY,Jersey,,,
400.0,JOR,Jordan,1017350481.0,258518062.0,
392.0,JPN,Japan,6305940535.0,715663356.0,390055889.0
398.0,KAZ,Kazakhstan,28555635.0,54765266.0,
404.0,KEN,Kenya,18310186.0,30083.0,2455204543.0
417.0,KGZ,Kyrgyzstan,,,
116.0,KHM,Cambodia,26018420.0,35481.0,
296.0,KIR,Kiribati,2471353.0,,
659.0,KNA,Saint Kitts and Nevis,832030.0,1347350.0,
410.0,KOR,South Korea,918317020.0,162025776.0,
414.0,KWT,Kuwait,147868.0,938.0,
418.0,LAO,Laos,8982278.0,,
422.0,LBN,Lebanon,19632548.0,,
430.0,LBR,Liberia,247795286.0,,
434.0,LBY,Libya,952313.0,,
662.0,LCA,Saint Lucia,3317390.0,,
438.0,LIE,Liechtenstein,,,
144.0,LKA,Sri Lanka,68443509.0,128598940.0,
426.0,LSO,Lesotho,232918.0,,
440.0,LTU,Lithuania,5559322.0,189457296.0,
442.0,LUX,Luxembourg,4757727.0,16718980.0,
428.0,LVA,Latvia,226268.0,14067286.0,
446.0,MAC,"China, Macao Special Administrative Region",,,
663.0,MAF,Saint-Martin,,,
504.0,MAR,Morocco,409769305.0,1216087460.0,
492.0,MCO,Monaco,,,
498.0,MDA,Moldova,16174.0,1893404.0,
450.0,MDG,Madagascar,9162036.0,101207.0,
462.0,MDV,Maldives,14022916.0,716035.0,
484.0,MEX,Mexico,993732228.0,3295672378.0,989484040.0
584.0,MHL,Marshall Islands,552220.0,4469.0,
807.0,MKD,North Macedonia,5812432.0,29858591.0,
466.0,MLI,Mali,4242978.0,,
470.0,MLT,Malta,28130376.0,1358.0,
104.0,MMR,Myanmar,10350466.0,5444.0,
499.0,MNE,Montenegro,,63836826.0,
496.0,MNG,Mongolia,10242440.0,54784886.0,
580.0,MNP,Northern Mariana Islands,,,
508.0,MOZ,Mozambique,2103430.0,,
478.0,MRT,Mauritania,56319519.0,65841213.0,
500.0,MSR,Montserrat,,,
474.0,MTQ,Martinique,,,
480.0,MUS,Mauritius,30811723.0,1936360.0,
454.0,MWI,Malawi,1740502.0,,
458.0,MYS,Malaysia,23836530.0,,
175.0,MYT,Mayotte,,,
516.0,NAM,Namibia,109178253.0,6476755.0,
540.0,NCL,New Caledonia,,,
562.0,NER,Niger,8456874.0,,
574.0,NFK,Norfolk Island,,,
566.0,NGA,Nigeria,8831455.0,,
558.0,NIC,Nicaragua,16079379.0,689228658.0,394553053.0
570.0,NIU,Niue,,,
528.0,NLD,Netherlands,225437747.0,1122152726.0,
578.0,NOR,Norway,3129120.0,213152362.0,
524.0,NPL,Nepal,21391462.0,55562.0,
520.0,NRU,Nauru,,,
554.0,NZL,New Zealand,6698230.0,217202436.0,965444448.0
512.0,OMN,Oman,4578203.0,994.0,
586.0,PAK,Pakistan,365613148.0,1234526384.0,
591.0,PAN,Panama,100096329.0,197080477.0,
612.0,PCN,Pitcairn Islands,,,
604.0,PER,Peru,309194142.0,622108442.0,
608.0,PHL,Philippines,303705581.0,260874406.0,2848113035.0
585.0,PLW,Palau,679027.0,,
598.0,PNG,Papua New Guinea,1114859.0,,2880625.0
616.0,POL,Poland,26726738.0,2746615221.0,
630.0,PRI,Puerto Rico,79313673.0,14861894.0,
408.0,PRK,North Korea,,,
620.0,PRT,Portugal,280780824.0,2925824486.0,63156218.0
600.0,PRY,Paraguay,15917.0,,
