Country,ISO3 code,Group Technology,elec_prod_GWh,installed_cap_MW,capacity_factor,lambda,Price_USD_GWh,pq,gep
Austria,AUT,Geothermal energy,0.2,0.915,0.024951967462634426,0.001,102000.0,20400.0,20.400000000000002
Chile,CHL,Geothermal energy,202.0,39.7,0.5808403206698641,0.49854413195514136,102000.0,20604000.0,10272003.294803733
China,CHN,Geothermal energy,143.5,25.75,0.6361661568470984,0.5647324286202687,146000.0,20951000.0,11831709.112023251
Costa Rica,CRI,Geothermal energy,1512.575,261.86,0.6593919613359573,0.5925182976466351,144000.0,217810800.0,129056884.4250517
Croatia,HRV,Geothermal energy,91.9,10.0,1.0,1.0,168000.0,15439200.000000002,15439200.000000002
El Salvador,SLV,Geothermal energy,1474.001,204.44,0.8230529951961434,0.7883119053014404,195000.0,287430195.0,226584644.66161454
France,FRA,Geothermal energy,128.486,16.15,0.9081951453977409,0.8901705356562953,136000.0,17474096.0,15554925.396429528
Germany,DEU,Geothermal energy,197.0,40.0,0.5622146118721462,0.47626152359921187,256000.0,50432000.0,24018821.158155452
Guadeloupe,GLP,Geothermal energy,109.468,14.5,0.8618170366871359,0.834686728628573,,,
Guatemala,GTM,Geothermal energy,262.137,52.0,0.5754675974710222,0.4921165490832734,201000.0,52689537.0,25929393.12123545
Honduras,HND,Geothermal energy,295.918,35.0,0.9651598173515982,0.9583194307698772,208000.0,61550944.0,58985465.61742859
Hungary,HUN,Geothermal energy,18.0,3.0,0.684931506849315,0.6230721786528877,180000.0,3240000.0,2018753.858835356
Iceland,ISL,Geothermal energy,6018.138,755.558,0.9092644837253004,0.8914498237312765,122000.0,734212836.0,654513903.2334406
Indonesia,IDN,Geothermal energy,14100.0,2130.7,0.7554273436410055,0.7074088951243288,109000.0,1536900000.0,1087216730.916581
Italy,ITA,Geothermal energy,6074.86,767.19,0.9039184151902027,0.885054128796642,168000.0,1020576480.0,903265427.3767436
Japan,JPN,Geothermal energy,2847.0,481.0,0.6756756756756757,0.6119990934194238,212000.0,603564000.0,369380620.8206011
Kenya,KEN,Geothermal energy,5383.855,683.8,0.8987939743122304,0.878923575035329,217000.0,1168296535.0,1026843367.2435874
Mexico,MEX,Geothermal energy,5351.0,973.5,0.6274727774611684,0.5543322247810503,165000.0,882915000.0,489428236.242561
New Zealand,NZL,Geothermal energy,8261.0,1009.0,0.93462490553059,0.9217894125740741,120000.0,991320000.0,913788280.4729311
Nicaragua,NIC,Geothermal energy,778.13,153.24,0.5796634401642929,0.49713618728725395,334000.0,259895420.0,129203418.19221953
Papua New Guinea,PNG,Geothermal energy,96.0,50.0,0.2191780821917808,0.06587452970498268,289000.0,27744000.0,1827622.9521350395
Philippines (the),PHL,Geothermal energy,10690.804,1928.1,0.6329606428738729,0.5608975564432916,181000.0,1935035524.0,1085356697.0425644
Portugal,PRT,Geothermal energy,215.36,29.1,0.8448273156647681,0.814361311554281,222000.0,47809920.0,38934549.15650525
Russian Federation (the),RUS,Geothermal energy,432.7,81.4,0.6068179013384493,0.5296220502431997,84000.0,36346800.0,19250066.73577953
Thailand,THA,Geothermal energy,1.246,0.3,0.4741248097412481,0.3708765107467281,137000.0,170702.0,63309.36213748798
Türkiye,TUR,Geothermal energy,8951.74,1514.688,0.6746525540929097,0.6107750961059865,89000.0,796704860.0,486607487.4346065
United States of America (the),USA,Geothermal energy,18364.0,2555.4,0.8203596430944159,0.7850897508750398,181000.0,3323884000.0,2609547261.497531
Afghanistan,AFG,Solar energy,55.848,31.631,0.20155361720316856,0.7046023736996997,180000.0,10052640.0,7083114.005948549
Albania,ALB,Solar energy,22.196,14.0,0.18098499673842142,0.6240185562353282,94000.0,2086424.0000000002,1301967.2921747386
Algeria,DZA,Solar energy,711.045,366.09999999999997,0.22171406869146465,0.7835870652358484,21000.0,14931945.0,11700478.960813101
American Samoa,ASM,Solar energy,7.435,4.8100000000000005,0.17645411481027917,0.6062674502301485,,,
Andorra,AND,Solar energy,0.723,1.989,0.04149534770002135,0.07752549241779509,,,
Angola,AGO,Solar energy,1.939,1.366,0.16204028694251119,0.5497969020059817,37000.0,71743.0,39444.07914061515
Anguilla,AIA,Solar energy,2.683,1.542,0.19862421453488027,0.6931255490723224,,,
Antigua and Barbuda,ATG,Solar energy,13.715,8.714,0.17966941351920965,0.6188643594248103,449000.0,6158035.0,3810988.3855905617
Argentina,ARG,Solar energy,800.947,447.239,0.20443723811222425,0.7158998343811321,108000.0,86502276.0,61926965.061990984
Armenia,ARM,Solar energy,23.6,21.1,0.12768075483130992,0.41518299979723716,77000.0,1817200.0,754470.5472315394
Aruba,ABW,Solar energy,25.996,14.804,0.20045797815967298,0.700309874995705,,,
Australia,AUS,Solar energy,14848.0,15453.0,0.10968596188117334,0.34468293330574373,204000.0,3028992000.0,1044041847.5196313
Austria,AUT,Solar energy,1702.093,1694.396,0.11467381525999741,0.3642243637535027,102000.0,173613486.0,63234261.477377646
Azerbaijan,AZE,Solar energy,44.2,33.1,0.15243692146394625,0.5121728011531957,48000.0,2121600.0,1086625.81492662
Bahamas (the),BHS,Solar energy,4.659,3.707,0.1434716253219566,0.4770485307113176,285000.0,1327815.0,633432.1948064482
Bahrain,BHR,Solar energy,18.0,9.704,0.2117471682345368,0.7445387056979201,60000.0,1080000.0,804101.8021537537
Bangladesh,BGD,Solar energy,374.03,279.614,0.15270154063986383,0.5132095271410306,97000.0,36280910.0,18619708.66534629
Barbados,BRB,Solar energy,39.204,33.21,0.13475888183539367,0.44291371199858826,266000.0,10428264.0,4618821.117941246
Belarus,BLR,Solar energy,181.0,154.0,0.134169483484552,0.4406045649559156,147000.0,26607000.0,11723165.659782046
Belgium,BEL,Solar energy,4252.5,4636.6,0.10469853027637753,0.32514315528583543,167000.0,710167500.0,230906101.73145354
Belize,BLZ,Solar energy,9.435,6.55,0.16443584649168672,0.5591822340833883,226000.0,2132310.0,1192349.8695583497
Benin,BEN,Solar energy,5.599,3.806,0.16793359199725502,0.5728857143843948,207000.0,1158993.0,663970.532771513
Bhutan,BTN,Solar energy,0.385,0.275,0.15981735159817353,0.5410878776778688,59000.0,22715.0,12290.81114145279
Bolivia (Plurinational State of),BOL,Solar energy,187.516,5.25,1.0,1.0,175000.0,32815300.0,32815300.0
"Bonaire, Sint Eustatius and Saba",BES,Solar energy,9.141,6.645,0.15703433418885349,0.5301845617604407,,,
Bosnia and Herzegovina,BIH,Solar energy,30.0,22.35,0.15322852502221815,0.5152741485067172,116000.0,3480000.0,1793154.0368033757
Botswana,BWA,Solar energy,5.941,5.9190000000000005,0.11457954840884667,0.36385504473480174,163000.0,968383.0,352351.0397854215
Brazil,BRA,Solar energy,6666.304999999999,4698.489,0.1619656279840577,0.5495044028619381,175000.0,1166603375.0,641053690.9560966
British Virgin Islands,VGB,Solar energy,1.635,0.99,0.18852912688529128,0.6535749772760475,,,
Brunei Darussalam,BRN,Solar energy,1.079,1.216,0.10129400985340062,0.3118049125588082,50000.0,53950.0,16821.8750325477
Bulgaria,BGR,Solar energy,1417.286,1044.39,0.1549140065199843,0.5218775341634437,107000.0,151649602.0,79142520.34862764
Burkina Faso,BFA,Solar energy,91.24000000000001,55.426,0.18791767607540236,0.6511794330276143,238000.0,21715120.000000004,14140439.52972661
Burundi,BDI,Solar energy,2.9819999999999998,1.92,0.17729737442922372,0.609571175889561,173000.0,515885.99999999994,314469.23564496206
Cabo Verde,CPV,Solar energy,8.985,14.072,0.07288835499622295,0.2005171327152375,263000.0,2363055.0,473833.0130484055
Cambodia,KHM,Solar energy,139.71,137.281,0.11617507256638793,0.37010599519069953,182000.0,25427220.0,9410766.563032858
Cameroon,CMR,Solar energy,17.446,12.697,0.1568522100823443,0.5294710352611817,170000.0,2965820.0000000005,1570315.785798318
Canada,CAN,Solar energy,3752.0,4007.0,0.10689056707838908,0.3337311251903428,123000.0,461496000.0,154015579.35084245
Cayman Islands,CYM,Solar energy,17.205,11.194,0.17545480577902542,0.6023523536050215,,,
Central African Republic (the),CAF,Solar energy,0.426,0.296,0.1642910033320992,0.5586147670161065,105000.0,44730.0,24986.838528630444
Chad,TCD,Solar energy,0.881,0.557,0.18055794659911625,0.6223454576173201,212000.0,186772.0,116236.70581010211
Chile,CHL,Solar energy,6465.463,2715.5350000000003,0.2717941593503363,0.9797910299679722,102000.0,659477226.0,646149870.5029612
China,CHN,Solar energy,224541.51799999998,204970.8,0.12505485356448542,0.4048952340849999,146000.0,32783061627.999996,13273705411.892036
"China, Hong Kong Special Administrative Region",HKG,Solar energy,15.699,89.0,0.02013621671540711,0.001,161000.0,2527539.0,2527.539
Chinese Taipei,TWN,Solar energy,4015.9,4149.539,0.11047879609261672,0.34778910211682,117000.0,469860300.0,163412291.85733968
Colombia,COL,Solar energy,142.805,23.086,0.7061396794277661,1.0,199000.0,28418195.0,28418195.0
Comoros (the),COM,Solar energy,1.666,1.165,0.1632469084994219,0.554524208412229,281000.0,468146.0,259598.29007135137
Congo (the),COG,Solar energy,0.668,0.062,1.0,1.0,81000.0,54108.0,54108.0
Cook Islands (the),COK,Solar energy,9.805,5.57,0.2009501323954977,0.7022380386842707,,,
Costa Rica,CRI,Solar energy,71.39999999999999,48.444,0.1682496270230957,0.5741238775795563,144000.0,10281599.999999998,5902912.059721965
Croatia,HRV,Solar energy,83.1,84.8,0.11186676143706384,0.3532268778857636,168000.0,13960799.999999998,4931329.796787568
Cuba,CUB,Solar energy,191.804,150.65,0.14533975300334775,0.48436748826296183,,,
Curaçao,CUW,Solar energy,20.44,11.924999999999999,0.1956673654786863,0.6815411948847182,,,
